compartment	filename	level	annotators	publisher	publication_date	author	title	trump_count	clinton_count	credit	wire
annotator-training	breitbart_2016-03-11_activists-brick-up-entrance-to-m	None	4b22|4e07|5fec|6b86|d473|ef2d	breitbart	2016-03-11	Chris Tomlinson	Activists Brick Up Entrance To Migrants-Only Polling Station Ahead Of Weekend Elections	0	0	None	None
annotator-training	breitbart_2016-03-11_activists-who-lit-syria-revolt-w	None	4b22|4e07|5fec|6b86|d473|ef2d	breitbart	2016-03-11	AFP	Activists who lit Syria revolt washed away in migrant wave	0	0	None	AFP
annotator-training	breitbart_2016-03-11_afghanistan-thrash-zimbabwe-in-w	None	4b22|4e07|5fec|6b86|d473|ef2d	breitbart	2016-03-11	AFP	Afghanistan thrash Zimbabwe in World Twenty20	0	0	None	AFP
annotator-training	breitbart_2016-03-11_africa-builds-expertise-in-scien	None	4b22|4e07|5fec|6b86|d473|ef2d	breitbart	2016-03-11	AP	Africa builds expertise in science, tech, engineering, math	0	0	None	AP
dev	breitbart_2016-09-12_stealth-over-health-hillary-clin	4	ef2d	breitbart	2016-09-12	Breitbart News	Stealth Over Health: Hillary Clinton Was Headed to ER But Diverted to Avoid Bad Optics	0	3	None	None
dev	breitbart_2016-09-15_pat-caddell-democrat-voters-worr	7	4e07	breitbart	2016-09-15	Dan Riehl	Pat Caddell: Democrat Voters Worried About Hillary Clinton’s Health Issues; It’s ‘in Their Heads’	1	3	None	None
dev	breitbart_2016-09-20_poll-wealthy-voters-abandon-repu	17	6b86	breitbart	2016-09-20	Charlie Spiering	Poll: Wealthy Voters Abandon Republican Party for Hillary Clinton	3	4	None	None
dev	breitbart_2016-09-21_only-percent-of-hillary-clinton-	14	5fec	breitbart	2016-09-21	Patrick Howley	Only 24 Percent of Hillary Clinton’s Contributors Are Small Donors	1	6	None	None
dev	breitbart_2016-09-25_pence-gennifer-flowers-won-t-be-	11	d473	breitbart	2016-09-25	Pam Key	Pence: Gennifer Flowers Won’t Be at Debate, Trump Was ‘Mocking’ Clinton Camp	15	10	None	None
dev	breitbart_2016-09-26_green-party-candidate-jill-stein	7	6b86	breitbart	2016-09-26	UPI	Green Party candidate Jill Stein removed from N.Y. debate site by police	1	1	None	UPI
dev	breitbart_2016-09-28_mary-j-blige-sings-to-hillary-cl	0	6b86	breitbart	2016-09-28	UPI	Mary J. Blige sings to Hillary Clinton in preview clip of ‘The 411’	0	3	None	UPI
dev	breitbart_2016-09-29_politifact-donald-trump-is-right	0	ef2d	breitbart	2016-09-29	AWR Hawkins	Politifact: Donald Trump Is Right, ‘Thousands of Shootings’ in Chicago this Year	7	1	None	None
dev	breitbart_2016-09-30_the-latest-trump-urges-supporter	14	4e07	breitbart	2016-09-30	AP	The Latest: Trump urges supporters to monitor polling places	70	58	None	AP
dev	breitbart_2016-10-02_washington-post-hit-piece-exploi	17	5fec	breitbart	2016-10-02	Patrick Howley	Washington Post Hit Piece Exploits Trump Supporter Who Was in a Hospital for Mental Issues	11	1	None	None
dev	breitbart_2016-10-03_the-latest-trump-s-leaked-taxes-	4	ef2d	breitbart	2016-10-03	AP	The Latest: Trump’s leaked taxes not from Connecticut	32	20	None	AP
dev	breitbart_2016-10-04_bill-clinton-calls-obamacare-cra	11	6b86	breitbart	2016-10-04	UPI	Bill Clinton calls Obamacare ‘crazy system’ during campaign stop	1	5	None	UPI
dev	huff-post_2016-09-10_trump-s-east-european-achilles-h	18	d473	huff-post	2016-09-10	Michael Haltzel	Trump’s East European Achilles Heel	16	2	None	None
dev	huff-post_2016-09-16_black-lawmakers-rip-donald-trump	8	ef2d	huff-post	2016-09-16	Amanda Terkel	Black Lawmakers Rip Donald Trump As A ‘Disgusting Fraud’	12	2	None	None
dev	huff-post_2016-09-20_elizabeth-warren-hammers-wells-f	1	6b86	huff-post	2016-09-20	Emily Peck	Elizabeth Warren Hammers Wells Fargo CEO: ‘You Should Be Criminally Investigated’	0	1	None	None
dev	huff-post_2016-09-20_hillary-clinton-speaks-directly-	5	4e07	huff-post	2016-09-20	Andy Campbell	Hillary Clinton Speaks ‘Directly To White People’ After Latest Police Shooting	0	2	None	None
dev	huff-post_2016-09-22_trump-the-dealmaker-could-addres	12	5fec	huff-post	2016-09-22	Max Greenwood	Trump ‘The Dealmaker’ Could Address Clean Energy, Lindsey Graham Says	9	0	None	None
dev	huff-post_2016-09-26_one-tweet-sums-up-the-absurd-dou	8	6b86	huff-post	2016-09-26	Emma Gray	One Tweet Sums Up The Absurd Double Standard Clinton And Trump Face	4	5	None	None
dev	huff-post_2016-09-27_hillary-clinton-goes-after-donal	21	4b22	huff-post	2016-09-27	Amanda Terkel	Hillary Clinton Goes After Donald Trump As The New Mitt Romney	21	10	None	None
dev	huff-post_2016-09-27_latinos-share-their-most-honest-	15	6b86	huff-post	2016-09-27	Carolina Moreno	31 Latinos Share Their Most Honest Thoughts On Donald Trump	18	0	None	None
dev	huff-post_2016-09-27_obama-power-plant-rules-face-key	15	5fec	huff-post	2016-09-27	None	Obama Power Plant Rules Face Key Test In U.S. Court	1	1	None	reuters
dev	huff-post_2016-09-28_clinton-supporting-super-pacs-ta	18	5fec	huff-post	2016-09-28	Michael Beckel	Clinton-Supporting Super PACs Target Latino Voters	0	1	None	None
dev	huff-post_2016-10-07_ava-duvernay-s-th-explores-the-e	12	6b86	huff-post	2016-10-07	Lilly Workneh	Ava DuVernay’s ‘13th’ Explores The Evolution Of The U.S. Prison System	0	1	None	None
dev	huff-post_2016-10-07_frustrated-parents-rally-nationw	5	4b22	huff-post	2016-10-07	Rebecca Klein	Frustrated Parents Rally Nationwide To ‘Reclaim Our Schools’	1	0	None	None
dev	nyt_2016-09-08_obama-on-climate-change-the-tren	1	5fec	nyt	2016-09-08	JULIE HIRSCHFELD DAVIS, MARK LANDLER and CORAL DAVENPORT	Obama on Climate Change: The Trends Are 'Terrifying'	1	5	None	None
dev	nyt_2016-09-12_visa-program-up-for-renewal-amid	18	4b22	nyt	2016-09-12	RON NIXON	Visa Program Up for Renewal Amid Allegations of Fraud	1	0	None	None
dev	nyt_2016-09-16_clinton-plan-for-taxes-is-expans	4	d473	nyt	2016-09-16	By JAMES B. STEWART	Clinton Plan for Taxes Is Expansive but Complex	9	28	None	None
dev	nyt_2016-09-19_obama-sees-personal-insult-if-bl	18	ef2d	nyt	2016-09-19	AMY CHOZICK and JULIE HIRSCHFELD DAVIS	Obama Sees 'Personal Insult' if Blacks Don't Rally for Hillary Clinton	3	23	None	None
dev	nyt_2016-09-19_old-hands-help-russia-navigate-u	11	d473	nyt	2016-09-19	By JIM RUTENBERG,Oleg Matsnev and Zachary Wichter contributed research.	Old Hands Help Russia Navigate U.S. Media	6	0	None	None
dev	nyt_2016-09-20_examining-the-u-n-s-record-on-ur	8	5fec	nyt	2016-09-20	SOMINI SENGUPTA	Examining the U.N.'s Record on Urgent Global Challenges	1	0	None	None
dev	nyt_2016-09-24_small-steps-toward-college-savin	8	d473	nyt	2016-09-24	By RON LIEBER	Small Steps Toward College Savings	1	1	None	None
dev	nyt_2016-09-25_obama-says-african-american-muse	11	5fec	nyt	2016-09-25	MARK LANDLER and NOAH WEILAND	Obama Says African-American Museum Will Tell of 'Suffering and Delight'	0	1	None	None
dev	nyt_2016-09-28_what-mexico-could-do-when-up-aga	1	4b22	nyt	2016-09-28	By EDUARDO PORTER. Email: eporter@nytimes.com,Twitter: @portereduardo	What Mexico Could Do When Up Against Trump	11	0	None	None
dev	nyt_2016-09-30_keep-the-returns-trump-just-give	4	4e07	nyt	2016-09-30	By JAMES B. STEWART	Keep the Returns, Trump; Just Give Us a Few Figures	32	2	None	None
dev	nyt_2016-10-02_a-curious-plan-to-fight-climate-	15	4e07	nyt	2016-10-02	MICHAEL CORKERY and MICHAEL WINES	A Curious Plan to Fight Climate Change: Buy Mines, Sell Coal	1	1	None	None
dev	nyt_2016-10-04_in-avoiding-tax-trump-is-merely-	15	6b86	nyt	2016-10-04	By ANDREW ROSS SORKIN	In Avoiding Tax, Trump Is Merely a Small Fry	5	0	None	None
dev	politico_2016-09-08_flynn-says-trump-absolutely-righ	16	4b22|4e07|5fec|6b86|d473|ef2d	politico	2016-09-08	Louis Nelson	Flynn says Trump 'absolutely right' in saying generals reduced to rubble	7	1	None	None
dev	politico_2016-09-12_former-dnc-chairman-calls-for-cl	5	5fec	politico	2016-09-12	Kyle Cheney	Former DNC chairman calls for Clinton contingency plan	2	22	None	None
dev	politico_2016-09-15_trump-s-favorite-tv-doctor-has-a	2	6b86	politico	2016-09-15	Nancy Cook	Trump's favorite TV doctor has a basketful of critics	12	1	None	None
dev	politico_2016-09-16_sanders-clinton-needs-to-get-awa	9	6b86	politico	2016-09-16	Nick Gass	Sanders: Clinton needs to 'get away from all of this personality stuff' with Trump	10	9	None	None
dev	politico_2016-09-17_de-blasio-says-chelsea-explosion	9	4b22	politico	2016-09-17	Azi Paybarah	De Blasio says Chelsea explosion was an 'intentional act'	2	2	None	None
dev	politico_2016-09-22_house-panel-votes-to-hold-clinto	2	4e07	politico	2016-09-22	Josh Gerstein	House panel votes to hold Clinton tech aide Bryan Pagliano in contempt	0	2	None	None
dev	politico_2016-09-22_judge-rejects-new-york-times-req	12	6b86	politico	2016-09-22	Josh Gerstein	Judge rejects New York Times request to unseal Trump divorce file	3	1	None	None
dev	politico_2016-09-23_partisan-fireworks-over-clinton-	19	5fec	politico	2016-09-23	Rachael Bade	Partisan fireworks over Clinton aides' immunity deals	1	18	None	None
dev	politico_2016-09-25_poll-clinton-and-trump-in-dead-h	16	5fec	politico	2016-09-25		Poll: Clinton and Trump in dead heat heading into first debate	9	14	None	None
dev	politico_2016-09-28_axelrod-calls-on-dean-to-apologi	5	6b86	politico	2016-09-28	Yousef Saba	Axelrod calls on Dean to apologize for suggesting Trump uses cocaine	7	0	None	None
dev	politico_2016-09-30_flight-attendants-union-endorses	12	5fec	politico	2016-09-30	Madeline Conway	Flight attendants' union endorses Clinton	1	7	None	None
dev	politico_2016-10-04_trump-not-walking-the-walk-on-hi	19	4e07	politico	2016-10-04	Brian Faler	Trump not walking the walk on his tax claims	19	2	None	None
dev	usa-today_2016-09-08_candidates-vie-for-vets-support-	19	4e07	usa-today	2016-09-08	David Jackson, @djusatoday, USA TODAY	Candidates vie for vets' support; Trump and Clinton point out own credentials, each other's failings during leadership forum	13	13	None	None
